Nom du Graphe.Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Graphe.Noeud 	Ratio
Graphe476        	81214700         	18258000         	235,2            	267662,5687      
Graphe477        	80742400         	18360800         	232,5            	268354,9449      
Graphe478        	65929600         	17791500         	215,5            	223398,0915      
Graphe479        	75216200         	19557500         	246,7            	225578,1018      
Graphe480        	86019700         	19452100         	240,6            	276685,7232      
Graphe481        	71880600         	18902500         	236,1            	224347,6709      
Graphe482        	73048800         	19221000         	239,8            	224502,8282      
Graphe483        	75144900         	19058700         	244,1            	229791,5709      
Graphe484        	84858300         	19576200         	240,7            	271236,7113      
Graphe485        	89715900         	19869900         	244,7            	285394,2745      
Graphe486        	79457800         	20319700         	248,9            	237586,4854      
Graphe487        	74508100         	22793100         	237,8            	217433,7733      
Graphe488        	100942300        	19988600         	249,6            	324389,4327      
Graphe489        	79035500         	21815500         	253,3            	225858,7369      
Graphe490        	72405100         	22148700         	244,5            	205535,6880      
Graphe491        	77576000         	20021000         	245,0            	234939,7635      
Graphe492        	95492000         	19719000         	239,9            	315819,3937      
Graphe493        	102966800        	22543000         	260,4            	308897,4836      
Graphe494        	81910900         	20704800         	253,2            	241703,6934      
Graphe495        	86356600         	19825200         	243,7            	273054,7066      
Graphe496        	77789800         	28220600         	242,7            	204216,2956      
Graphe497        	78400900         	20367800         	244,5            	237368,7839      
Graphe498        	85253100         	20091800         	235,1            	277180,6913      
Graphe499        	74698600         	19935600         	236,4            	231678,2325      
Graphe500        	81691600         	20764600         	247,7            	245991,5068      
Graphe501        	93328300         	21523300         	251,4            	285591,6168      
Graphe502        	92813700         	20855400         	249,1            	288855,6573      
Graphe503        	105674300        	21778800         	257,5            	325856,6314      
Graphe504        	85687300         	21525200         	258,6            	248074,6271      
Graphe505        	83122200         	21405300         	251,2            	245725,7266      
Graphe506        	69649800         	20784100         	249,4            	195965,8304      
Graphe507        	86107700         	21905300         	257,6            	249193,7684      
Graphe508        	92187000         	20872800         	244,1            	292158,6177      
Graphe509        	75271800         	22052200         	247,2            	215291,6892      
Graphe510        	82856900         	21546800         	250,5            	244743,2652      
Graphe511        	89170700         	22594000         	265,1            	251171,8594      
Graphe512        	84960100         	21884300         	266,5            	236718,4667      
Graphe513        	86345000         	22787000         	256,9            	247449,4818      
Graphe514        	83289000         	21642100         	250,1            	246451,9559      
Graphe515        	105531700        	25106700         	265,4            	302997,3839      
Graphe516        	94026400         	22348300         	256,8            	279077,1089      
Graphe517        	87941100         	21853400         	254,1            	260045,7649      
Graphe518        	76775100         	23702100         	255,3            	207891,1052      
Graphe519        	85816600         	25459800         	271,0            	222745,6387      
Graphe520        	77756800         	22692300         	260,0            	211791,2200      
Graphe521        	119718700        	23413100         	268,2            	359110,9806      
Graphe522        	112506500        	25611800         	259,5            	334824,7871      
Graphe523        	80098600         	22594900         	256,5            	224183,4677      
Graphe524        	102449800        	23416100         	259,9            	304111,4141      
Graphe525        	88498000         	22888800         	262,0            	250454,8862      
Graphe526        	117562300        	23689900         	268,4            	349736,2913      
Graphe527        	133197200        	24158100         	269,4            	404738,3024      
Graphe528        	88379600         	25150900         	263,6            	239823,1699      
Graphe529        	77546900         	23705900         	264,3            	203720,8363      
Graphe530        	86982600         	23590700         	250,9            	252608,4476      
Graphe531        	117193300        	24271400         	261,0            	356073,7974      
Graphe532        	116622600        	23550600         	258,3            	360354,4638      
Graphe533        	104952500        	23859800         	271,8            	298366,6158      
Graphe534        	115424800        	23977900         	246,9            	370412,2243      
Graphe535        	108406000        	26204800         	264,1            	311247,4310      
Graphe536        	98103000         	25284600         	273,4            	266371,3450      
Graphe537        	100474600        	25245000         	272,3            	276255,3100      
Graphe538        	117781800        	23822500         	262,2            	358415,5494      
Graphe539        	113063200        	24880900         	270,5            	326031,9446      
Graphe540        	97032800         	25564000         	266,2            	268450,6712      
Graphe541        	112428000        	25327500         	280,2            	310897,3581      
Graphe542        	127280500        	24894200         	272,6            	375653,5186      
Graphe543        	122003400        	26933700         	271,1            	350618,4123      
Graphe544        	104003100        	25973700         	278,9            	279728,5211      
Graphe545        	85292800         	25557600         	275,8            	216586,8226      
Graphe546        	113988600        	25416000         	271,3            	326431,7166      
Graphe547        	100730500        	26373100         	275,1            	270331,4566      
Graphe548        	150699100        	27962600         	278,0            	441469,3284      
Graphe549        	115510500        	25400600         	271,7            	331664,8179      
Graphe550        	119619100        	26084600         	279,9            	334123,1241      
Graphe551        	106239600        	26718500         	289,3            	274915,2489      
Graphe552        	111262200        	24722300         	267,9            	322975,3345      
Graphe553        	135707500        	26709100         	288,2            	378163,8328      
Graphe554        	101553800        	26250600         	271,5            	277367,2024      
Graphe555        	99792400         	25801800         	269,1            	274980,9121      
Graphe556        	119223300        	26480800         	280,9            	330177,1461      
Graphe557        	112489900        	26472300         	277,6            	309882,4397      
Graphe558        	104726300        	28044100         	276,6            	277224,2221      
Graphe559        	120117800        	26504800         	277,4            	337436,2643      
Graphe560        	113926500        	27440300         	268,4            	322219,7912      
Graphe561        	105232200        	25845600         	275,3            	288326,5757      
Graphe562        	118269700        	27096200         	280,6            	324909,8285      
Graphe563        	115950000        	26531800         	271,1            	329850,8984      
Graphe564        	122740800        	27418900         	280,5            	339802,8367      
Graphe565        	154304800        	27689000         	283,9            	445913,3567      
Graphe566        	129789200        	28803000         	287,1            	351719,4199      
Graphe567        	123988900        	30502100         	287,0            	325708,0616      
Graphe568        	104696700        	27698600         	277,8            	277195,4943      
Graphe569        	97602100         	28866300         	303,5            	226446,3934      
Graphe570        	109931700        	28280800         	298,4            	273673,5956      
Graphe571        	133359800        	29090000         	291,4            	357809,0383      
Graphe572        	107341300        	27391600         	284,3            	281214,5904      
Graphe573        	142979600        	28576000         	287,4            	398068,8399      
Graphe574        	112940800        	28145900         	290,4            	291995,9012      
Graphe575        	124044300        	27463500         	278,4            	346963,0393      
Graphe576        	125670400        	28650600         	295,7            	328157,0427      
Graphe577        	125972900        	28276200         	290,5            	336338,3297      
Graphe578        	108494400        	27982500         	282,4            	285077,9102      
Graphe579        	120374200        	27699200         	280,4            	330492,5393      
Graphe580        	131375900        	29373800         	284,7            	358271,4573      
Graphe581        	137505400        	29610200         	304,1            	354778,2969      
Graphe582        	144818000        	28333900         	283,1            	411495,0422      
Graphe583        	115691000        	29282500         	303,4            	284787,7570      
Graphe584        	141176600        	29360500         	295,2            	378768,1270      
Graphe585        	110444600        	28965000         	285,0            	285850,6168      
Graphe586        	127288100        	28645900         	283,9            	347398,2607      
Graphe587        	92781000         	28422100         	286,2            	224904,2836      
Graphe588        	120152100        	30032800         	295,7            	304799,1734      
Graphe589        	150519100        	29760100         	296,5            	407233,9774      
Graphe590        	135702000        	29910300         	299,3            	353448,9873      
Graphe591        	168002500        	29127300         	289,7            	479337,1221      
Graphe592        	114153700        	30273600         	292,4            	286893,4151      
Graphe593        	155115900        	30351600         	304,2            	410175,3120      
Graphe594        	101371000        	32378300         	285,6            	241553,4818      
Graphe595        	163325100        	33080100         	302,3            	430816,0467      
Graphe596        	149975300        	33379600         	298,5            	390616,3016      
Graphe597        	139646100        	30698100         	300,4            	362730,0529      
Graphe598        	127969200        	30544400         	298,8            	326004,4505      
Graphe599        	118806100        	30490800         	299,4            	295020,8453      
Graphe600        	139878800        	33595900         	296,9            	357956,9874      
Graphe601        	151712400        	30701600         	293,4            	412420,2363      
Graphe602        	143183600        	34695000         	304,3            	356476,2859      
Graphe603        	132687500        	30684900         	290,8            	350737,5645      
Graphe604        	146903300        	30952400         	292,2            	396847,6706      
Graphe605        	139543500        	34897000         	309,6            	338007,6493      
Graphe606        	125262200        	32034900         	293,1            	318099,7722      
Graphe607        	160260600        	31846800         	309,9            	414424,6533      
Graphe608        	127679000        	34202600         	291,0            	321255,5087      
Graphe609        	130604600        	33549100         	287,7            	337370,2055      
Graphe610        	145188000        	33309300         	303,4            	368689,8697      
Graphe611        	175389600        	31425700         	299,7            	480284,4741      
Graphe612        	135407600        	33028000         	320,3            	319627,1643      
Graphe613        	147231700        	32276500         	309,2            	371724,0204      
Graphe614        	166801400        	34548000         	302,1            	437826,3186      
Graphe615        	148479600        	32064100         	295,9            	393399,0027      
Graphe616        	132127400        	32972900         	313,1            	316640,2152      
Graphe617        	131998900        	33390500         	316,3            	311766,5967      
Graphe618        	126807100        	32709500         	314,3            	299398,6010      
Graphe619        	149729500        	33045400         	309,5            	376976,0379      
Graphe620        	148593700        	33025800         	306,3            	377355,6569      
Graphe621        	168666800        	33724400         	310,5            	434551,0498      
Graphe622        	137076500        	33521400         	305,8            	338608,6535      
Graphe623        	175026300        	34338800         	315,8            	445454,9427      
Graphe624        	134669100        	36816300         	313,7            	311921,9317      
Graphe625        	142283300        	33534200         	320,1            	339768,1204      
Graphe626        	176714100        	36588900         	323,8            	432795,7349      
Graphe627        	153186400        	37048500         	311,4            	372941,8926      
Graphe628        	145943000        	33394900         	304,6            	369492,8217      
Graphe629        	150457700        	33183100         	312,0            	375883,9468      
Graphe630        	159140100        	34029300         	309,8            	403842,9451      
Graphe631        	123052000        	38709400         	307,3            	274487,2383      
Graphe632        	118739800        	35286600         	323,7            	257810,0670      
Graphe633        	187459500        	37852800         	326,5            	458196,9012      
Graphe634        	142788400        	34795500         	317,1            	340529,7299      
Graphe635        	137847700        	35582300         	323,8            	315785,4263      
Graphe636        	144268600        	39195500         	331,6            	316899,6629      
Graphe637        	180962000        	35734200         	323,7            	448660,8628      
Graphe638        	199329500        	35862600         	324,4            	503902,9367      
Graphe639        	181478400        	35718600         	316,2            	460919,3115      
Graphe640        	163034100        	35955600         	325,2            	390774,7873      
Graphe641        	142413000        	36601600         	322,0            	328578,2666      
Graphe642        	140203200        	35481400         	320,3            	326914,5602      
Graphe643        	157688400        	37055000         	321,7            	375013,4614      
Graphe644        	176167900        	39230000         	319,0            	429309,9128      
Graphe645        	193531700        	35593000         	318,6            	495751,7751      
Graphe646        	140100400        	36376100         	314,2            	330161,7884      
Graphe647        	173528000        	37289800         	337,0            	404324,9641      
Graphe648        	192988000        	37407600         	337,5            	461014,6883      
Graphe649        	148620000        	36640400         	326,0            	343519,9853      
Graphe650        	165254900        	36678100         	321,8            	399556,1457      
Graphe651        	128282400        	43603100         	328,5            	257795,4763      
Graphe652        	153986800        	43311500         	330,1            	335236,7918      
Graphe653        	145017600        	36856500         	329,8            	328006,7434      
Graphe654        	166180900        	37108400         	326,2            	395631,9154      
Graphe655        	180327400        	36556900         	315,9            	455136,5474      
Graphe656        	199076800        	36345300         	322,9            	503943,1050      
Graphe657        	230281100        	37323000         	324,5            	594722,4346      
Graphe658        	200084700        	40297500         	320,0            	499370,4667      
Graphe659        	191529100        	37306100         	330,7            	466401,6242      
Graphe660        	218285700        	38306600         	334,3            	538423,6950      
Graphe661        	152831000        	38380600         	332,9            	343816,3633      
Graphe662        	174759800        	39222300         	343,3            	394846,2021      
Graphe663        	215814100        	38381000         	335,3            	529159,3559      
Graphe664        	175164400        	38375800         	334,0            	409531,9781      
Graphe665        	194315400        	40119000         	329,2            	468340,5910      
Graphe666        	250361100        	41376700         	325,2            	642638,1896      
Graphe667        	185289900        	44297300         	340,7            	413799,9763      
Graphe668        	179507500        	39197600         	336,1            	417496,2606      
Graphe669        	162136500        	42361900         	333,0            	359635,1980      
Graphe670        	186338200        	47515400         	337,0            	411917,0840      
Graphe671        	186297000        	39806800         	335,4            	436824,9854      
Graphe672        	180048400        	39578400         	337,7            	415960,5465      
Graphe673        	154289300        	41726000         	338,2            	332826,1998      
Graphe674        	154647400        	38842300         	337,4            	343260,1260      
Graphe675        	178250500        	39925100         	336,7            	410787,0219      
Graphe676        	188434400        	41158300         	354,5            	415430,1064      
Graphe677        	199531000        	38589300         	332,6            	483933,3716      
Graphe678        	179873300        	40886800         	337,3            	412052,4402      
Graphe679        	159785100        	40781000         	339,2            	350833,3063      
Graphe680        	184235000        	39805100         	344,8            	418908,0106      
Graphe681        	232428200        	40660700         	342,9            	559210,6606      
Graphe682        	242992400        	41527000         	353,8            	569402,8957      
Graphe683        	183584500        	40411100         	346,4            	413368,6498      
Graphe684        	207036400        	45085500         	343,9            	470935,1761      
Graphe685        	210547800        	42591300         	344,3            	487822,4835      
Graphe686        	186949300        	41604500         	350,1            	415158,7919      
Graphe687        	217519000        	41226000         	329,1            	535738,6317      
Graphe688        	192188100        	44068800         	350,6            	422480,7449      
Graphe689        	192997000        	47891700         	346,2            	419132,2982      
Graphe690        	184180100        	54212100         	344,5            	377249,7777      
Graphe691        	176435900        	42860000         	354,2            	377154,7140      
Graphe692        	218337300        	42173700         	358,7            	491169,6888      
Graphe693        	189888000        	42340100         	339,6            	434505,0147      
Graphe694        	172380900        	42125300         	346,8            	375645,4514      
Graphe695        	183011900        	41378500         	336,4            	421015,6211      
Graphe696        	169507200        	42545900         	348,0            	364799,7835      
Graphe697        	197168700        	42527600         	349,8            	442099,1603      
Graphe698        	183972000        	42408300         	335,6            	421824,5012      
Graphe699        	233702700        	43391000         	355,8            	534904,9409      
Graphe700        	170939900        	43123000         	352,6            	362450,2694      
Graphe701        	188428400        	42030300         	343,1            	426644,9898      
Graphe702        	236720000        	46068000         	343,5            	555004,7057      
Graphe703        	222000100        	62350400         	358,7            	445121,7418      
Graphe704        	248089100        	48999100         	360,1            	552868,9824      
Graphe705        	174007000        	44194900         	344,6            	376730,3109      
Graphe706        	179959600        	43898400         	366,8            	370961,6821      
Graphe707        	219561900        	43416400         	347,0            	507611,5397      
Graphe708        	149094900        	44362500         	347,8            	301090,4365      
Graphe709        	241640100        	42931600         	349,7            	568206,6541      
Graphe710        	176309600        	43148400         	342,1            	389222,7694      
Graphe711        	225476100        	44451300         	352,8            	513166,7809      
Graphe712        	262818500        	45514400         	383,9            	565980,7299      
Graphe713        	179681700        	45352300         	363,3            	369745,7317      
Graphe714        	229396000        	45141100         	354,0            	520455,0538      
Graphe715        	211890500        	45595700         	363,2            	457802,8221      
Graphe716        	183597000        	45845700         	368,1            	374174,0756      
Graphe717        	223391100        	48356600         	365,8            	478530,9268      
Graphe718        	222228800        	47252400         	349,1            	501193,5107      
Graphe719        	208679300        	45629700         	366,2            	445284,8459      
Graphe720        	201117800        	45015800         	361,2            	432178,3998      
Graphe721        	238639800        	46231100         	371,5            	517936,3564      
Graphe722        	206946900        	45066300         	359,0            	450889,6658      
Graphe723        	214456600        	46809300         	368,0            	455583,8062      
Graphe724        	239556500        	50332600         	364,0            	519790,8049      
Graphe725        	231262800        	46068000         	357,8            	517552,4796      
Graphe726        	264330700        	48039300         	359,7            	601284,3600      
Graphe727        	197765200        	48130900         	360,2            	415430,8025      
Graphe728        	204817500        	46284900         	358,6            	442036,9049      
Graphe729        	242423600        	47298200         	370,4            	526853,6433      
Graphe730        	180971900        	46780500         	368,5            	364181,4187      
Graphe731        	221708000        	48929600         	377,7            	457505,1196      
Graphe732        	253650100        	56135500         	376,1            	525150,6580      
Graphe733        	189143600        	48039400         	358,0            	394114,3564      
Graphe734        	260790800        	48140300         	378,9            	561264,2028      
Graphe735        	224516400        	50973600         	356,2            	487208,6623      
Graphe736        	247225000        	49964800         	353,0            	558885,8511      
Graphe737        	216403200        	47594900         	364,0            	463759,0659      
Graphe738        	185561000        	48017300         	367,4            	374413,1325      
Graphe739        	250784800        	52192100         	368,4            	539064,9729      
Graphe740        	239201200        	51322600         	363,8            	516452,1217      
Graphe741        	253488200        	50798500         	377,7            	536674,7457      
Graphe742        	199345300        	50421900         	373,6            	398589,1315      
Graphe743        	217378500        	47747100         	369,7            	458791,1295      
Graphe744        	227893800        	49954100         	383,4            	464115,3241      
Graphe745        	186775200        	48582100         	362,3            	381461,1212      
Graphe746        	203736500        	50132500         	378,3            	405996,5017      
Graphe747        	222895300        	50007300         	374,0            	462250,8781      
Graphe748        	246760200        	53092900         	363,9            	532158,2841      
Graphe749        	234597800        	53211100         	381,7            	475153,9532      
Graphe750        	220790200        	49816600         	364,1            	469579,0302      
Graphe751        	234778100        	55063200         	384,2            	467735,7932      
Graphe752        	259933000        	52306200         	387,0            	536486,8122      
Graphe753        	214041800        	48532800         	363,9            	454882,0926      
Graphe754        	199995200        	50336700         	376,8            	397142,1461      
Graphe755        	254650900        	50795800         	378,6            	538416,7287      
Graphe756        	239531900        	52263800         	396,3            	472535,5937      
Graphe757        	238144900        	51003600         	371,4            	503921,1221      
Graphe758        	203855500        	53125400         	376,6            	400237,8475      
Graphe759        	208065000        	50957600         	382,6            	410647,3067      
Graphe760        	259157400        	50560600         	380,7            	547858,5935      
Graphe761        	204299500        	51283900         	375,4            	407625,6046      
Graphe762        	262361100        	50536600         	379,0            	558880,5324      
Graphe763        	201347800        	51195500         	376,2            	399128,9208      
Graphe764        	268479000        	52705900         	392,1            	550344,4422      
Graphe765        	212923700        	53319900         	397,9            	401094,7219      
Graphe766        	269132200        	55544300         	390,2            	547319,5728      
Graphe767        	204312000        	51547200         	386,4            	395336,2090      
Graphe768        	278302600        	53648100         	401,5            	559471,0245      
Graphe769        	264900000        	51002200         	375,8            	569112,7071      
Graphe770        	249819800        	53933700         	404,4            	484374,2708      
Graphe771        	298561400        	58086700         	374,3            	642458,2515      
Graphe772        	211674700        	53242400         	383,1            	413583,2289      
Graphe773        	209711000        	52860000         	379,5            	413318,7524      
Graphe774        	210745100        	86347200         	386,2            	322147,4447      
Graphe775        	300991100        	55160100         	383,4            	641212,1488      
Graphe776        	321187100        	56736400         	400,7            	659962,4846      
Graphe777        	243422200        	54062300         	380,1            	498228,0057      
Graphe778        	309029000        	55593700         	400,2            	633320,3068      
Graphe779        	254130100        	85019200         	396,4            	426604,9506      
Graphe780        	279134300        	53759000         	392,2            	574652,0483      
Graphe781        	271367500        	54773300         	386,8            	559963,2133      
Graphe782        	330545400        	54473700         	387,7            	711990,7787      
Graphe783        	213171200        	53277900         	391,9            	407945,4253      
Graphe784        	246059600        	53883800         	385,1            	499035,8883      
Graphe785        	276863200        	55550900         	398,5            	555342,9989      
Graphe786        	223320300        	56691800         	399,7            	416874,1186      
Graphe787        	295664500        	54710800         	397,4            	606318,7902      
Graphe788        	255503000        	56860900         	395,8            	501846,0473      
Graphe789        	244330000        	56101600         	383,8            	490373,4710      
Graphe790        	296624300        	60696600         	408,7            	577296,5793      
Graphe791        	258576300        	54505400         	392,4            	520095,4639      
Graphe792        	222169300        	56802900         	385,8            	428643,9264      
Graphe793        	270020200        	58609400         	404,1            	523214,2366      
Graphe794        	227992700        	55872400         	389,2            	442282,9508      
Graphe795        	315107000        	62998400         	404,7            	622947,7603      
Graphe796        	368698500        	62691900         	396,6            	771503,7053      
Graphe797        	261219000        	57011200         	391,0            	522270,5882      
Graphe798        	290417300        	57335700         	404,2            	576715,1734      
Graphe799        	324086600        	57001000         	395,8            	674835,1537      
Graphe800        	309120500        	61411400         	406,5            	609364,8723      
Graphe801        	291296500        	63018100         	400,8            	569552,2851      
Graphe802        	298526000        	58771200         	415,8            	576547,4044      
Graphe803        	254728000        	62287400         	394,7            	487620,7778      
Graphe804        	279179500        	61107800         	394,4            	552901,6952      
Graphe805        	262832600        	64381300         	406,7            	487963,7756      
Graphe806        	284058000        	57656600         	401,0            	564612,9310      
Graphe807        	280128600        	64112000         	410,2            	526647,4683      
Graphe808        	320209500        	62567000         	408,4            	630873,4840      
Graphe809        	273462900        	59175700         	409,5            	523298,5321      
Graphe810        	272625700        	59716100         	408,4            	521286,5381      
Graphe811        	338547600        	59990200         	410,9            	677854,6343      
Graphe812        	314644800        	72194400         	409,9            	591420,4114      
Graphe813        	294592700        	72866500         	412,8            	537189,6948      
Graphe814        	296729100        	67244700         	400,2            	573470,2971      
Graphe815        	316237100        	64559700         	399,3            	630287,0519      
Graphe816        	278958200        	59047600         	408,8            	537905,4270      
Graphe817        	348259000        	60203600         	411,8            	699569,9477      
Graphe818        	248756600        	61238300         	414,8            	452109,0660      
Graphe819        	304665900        	60305600         	397,7            	614463,2899      
Graphe820        	269344200        	59649100         	401,9            	521700,6474      
Graphe821        	279006300        	61247100         	415,0            	524759,3746      
Graphe822        	290423900        	66230900         	416,9            	537762,9925      
Graphe823        	256286200        	63678000         	404,7            	475894,8461      
Graphe824        	289792500        	60458900         	408,6            	561221,2022      
Graphe825        	270650700        	60562400         	402,0            	522667,4531      
Graphe826        	324374200        	62570700         	420,1            	623207,2621      
Graphe827        	233759600        	60665800         	396,4            	436650,6612      
Graphe828        	273850900        	67403000         	424,1            	486826,5739      
Graphe829        	245262800        	65507200         	408,3            	440215,2013      
Graphe830        	280245600        	67081400         	404,0            	527579,2232      
Graphe831        	250248000        	63138100         	413,0            	453057,1899      
Graphe832        	254274900        	67431300         	424,2            	440423,5073      
Graphe833        	246734400        	62926300         	410,4            	447904,2424      
Graphe834        	288544200        	62579200         	416,6            	542372,5728      
Graphe835        	430568200        	63588200         	416,0            	882069,7300      
Graphe836        	282559000        	62227900         	417,5            	527760,2802      
Graphe837        	287882500        	63233800         	411,1            	546519,1905      
Graphe838        	293924600        	62880600         	423,5            	545497,1050      
Graphe839        	301239900        	65063600         	435,3            	542521,7578      
Graphe840        	292106100        	66090500         	415,9            	543457,2291      
Graphe841        	290993000        	63731400         	412,5            	550884,1416      
Graphe842        	291867400        	63558000         	419,1            	544781,7928      
Graphe843        	260164100        	64899100         	426,6            	457770,8495      
Graphe844        	346965200        	72182200         	436,6            	629425,6859      
Graphe845        	288279000        	71772100         	406,1            	533097,7008      
Graphe846        	268338800        	68068400         	438,2            	457042,7043      
Graphe847        	258179400        	65205400         	426,6            	452357,7392      
Graphe848        	301129000        	67167600         	422,0            	554361,4453      
Graphe849        	314752400        	68010800         	443,6            	556285,2560      
Graphe850        	317903400        	70040300         	432,3            	573401,9778      
Graphe851        	304742100        	65715900         	429,5            	556545,5485      
Graphe852        	367761600        	67460800         	436,2            	688508,1244      
Graphe853        	350458500        	72499100         	419,9            	661953,7214      
Graphe854        	327189300        	66836600         	435,4            	597932,2635      
Graphe855        	271209400        	72766200         	434,7            	456469,2147      
Graphe856        	265452300        	66278900         	424,7            	468931,3529      
Graphe857        	301846600        	65139400         	425,7            	556039,6983      
Graphe858        	322764500        	67773200         	439,4            	580330,8449      
Graphe859        	376631400        	65412800         	430,7            	722563,9138      
Graphe860        	342838300        	65677100         	414,7            	668330,9819      
Graphe861        	390832700        	71057800         	449,2            	711833,4792      
Graphe862        	312658500        	68217700         	438,9            	556996,3188      
Graphe863        	373597500        	67521800         	435,0            	703594,2504      
Graphe864        	349377800        	66716900         	430,6            	656421,9481      
Graphe865        	340689600        	67369200         	420,0            	650818,2627      
Graphe866        	312299000        	67263200         	438,2            	559146,8496      
Graphe867        	284523900        	69934100         	451,4            	475380,6955      
Graphe868        	334193100        	66092400         	422,6            	634428,4211      
Graphe869        	309116200        	68447200         	429,8            	559958,4858      
Graphe870        	261971700        	68278500         	416,9            	464559,7982      
Graphe871        	271459700        	67652900         	426,1            	478320,6839      
Graphe872        	320743400        	70113500         	452,6            	553764,8145      
Graphe873        	314326400        	68668300         	431,1            	569818,2726      
Graphe874        	286205400        	69671600         	451,0            	480111,9990      
Graphe875        	362885400        	68959600         	438,9            	669661,8258      
Graphe876        	384543700        	69764900         	424,7            	741128,7017      
Graphe877        	311894600        	68197100         	433,8            	561763,8408      
Graphe878        	363118200        	70574600         	443,8            	659244,7421      
Graphe879        	333497800        	76233200         	444,6            	578696,8988      
Graphe880        	356123200        	70277600         	430,4            	664102,3175      
Graphe881        	355505700        	69983200         	445,8            	640419,1476      
Graphe882        	282122900        	71060000         	439,6            	480075,9653      
Graphe883        	297641900        	70514200         	433,0            	524593,6245      
Graphe884        	310344700        	70629900         	436,8            	548759,0504      
Graphe885        	324972500        	71576600         	443,5            	571312,0613      
Graphe886        	321415300        	70493000         	444,4            	564637,6476      
Graphe887        	327967400        	72835700         	443,8            	574883,1065      
Graphe888        	413735200        	79656400         	447,6            	746340,5458      
Graphe889        	334976600        	71577700         	452,6            	581990,9186      
Graphe890        	317475700        	72339800         	425,3            	576363,1357      
Graphe891        	327987100        	72169200         	446,6            	572821,9031      
Graphe892        	333707400        	72001100         	451,5            	579635,9948      
Graphe893        	323271500        	71787500         	434,8            	578354,3953      
Graphe894        	415687300        	73546300         	447,8            	764099,7203      
Graphe895        	374911000        	72441800         	450,4            	671568,1417      
Graphe896        	382003200        	78717000         	448,7            	675881,0682      
Graphe897        	334918100        	73908200         	450,7            	579068,6945      
Graphe898        	323548500        	71820600         	445,9            	564551,5710      
Graphe899        	374032500        	72540400         	446,0            	675979,4803      
Graphe900        	383005500        	74233500         	455,6            	677714,8614      
Graphe901        	329984600        	72260400         	444,1            	580345,5581      
Graphe902        	345302200        	74245900         	458,2            	591548,8048      
Graphe903        	359469800        	81696300         	452,4            	614001,2786      
Graphe904        	424625700        	81325500         	458,3            	749027,6372      
Graphe905        	295867700        	73439800         	445,9            	498864,0176      
Graphe906        	391434500        	77720200         	455,0            	689525,3717      
Graphe907        	420855800        	80514900         	461,1            	738116,8746      
Graphe908        	354803900        	74621400         	448,6            	624512,7540      
Graphe909        	352540200        	76538600         	457,2            	603639,1995      
Graphe910        	396703100        	74849000         	446,5            	720864,4039      
Graphe911        	424086400        	74431300         	455,2            	768054,8991      
Graphe912        	409037200        	77320600         	472,3            	702353,0898      
Graphe913        	441206600        	83650300         	458,0            	780660,8059      
Graphe914        	348418500        	78252600         	462,7            	583879,2481      
Graphe915        	315926400        	76452200         	462,5            	517732,6139      
Graphe916        	346554600        	82039500         	443,7            	596197,9376      
Graphe917        	405151900        	76592800         	472,2            	695783,7911      
Graphe918        	385817900        	78537500         	465,3            	660322,5910      
Graphe919        	408560400        	83883400         	472,3            	687425,9005      
Graphe920        	401083700        	75728300         	462,9            	702937,0398      
Graphe921        	350191600        	76924300         	456,4            	598755,4134      
Graphe922        	348734500        	77882800         	464,2            	583506,1874      
Graphe923        	547764000        	76261400         	462,9            	1018499,7011     
Graphe924        	464301300        	79687300         	479,3            	802443,6198      
Graphe925        	388773100        	76076400         	461,3            	677821,8607      
Graphe926        	361318600        	77686900         	463,6            	611778,1730      
Graphe927        	357104000        	78492400         	459,5            	606376,9369      
Graphe928        	424483200        	82645900         	466,8            	732302,6453      
Graphe929        	471263800        	79140500         	462,1            	848518,9483      
Graphe930        	398940700        	83074800         	446,5            	707504,6355      
Graphe931        	533387700        	88308300         	470,4            	946211,4322      
Graphe932        	425701800        	83697400         	462,2            	740003,4508      
Graphe933        	440392800        	86555000         	453,0            	781139,4697      
Graphe934        	463996800        	79191600         	461,3            	834225,4383      
Graphe935        	437294000        	86621700         	477,4            	734532,6181      
Graphe936        	447582800        	78771200         	453,5            	813240,7145      
Graphe937        	461176100        	79678500         	466,3            	818152,0674      
Graphe938        	428629500        	87015000         	469,8            	727130,6748      
Graphe939        	397730300        	87411100         	468,1            	662908,1274      
Graphe940        	417526800        	85887900         	461,7            	718338,1938      
Graphe941        	436293600        	83626700         	482,9            	730266,6363      
Graphe942        	337245100        	80458700         	461,6            	556268,7864      
Graphe943        	365042800        	79778800         	461,8            	617702,1413      
Graphe944        	380348000        	81962600         	474,3            	629040,7220      
Graphe945        	326965300        	81200900         	466,2            	527197,8843      
Graphe946        	386376500        	83852900         	475,7            	635983,6449      
Graphe947        	342142600        	82379200         	480,3            	540848,4241      
Graphe948        	380491500        	82777800         	461,2            	645503,5250      
Graphe949        	319624300        	80052400         	464,7            	515502,1504      
Graphe950        	459175600        	80744200         	470,9            	803705,6706      
Graphe951        	475904600        	83594200         	477,2            	822050,4024      
Graphe952        	491361300        	84759400         	478,5            	849696,2034      
Graphe953        	391905800        	83067700         	473,6            	652087,2901      
Graphe954        	454052600        	91045600         	473,5            	766622,5413      
Graphe955        	422242500        	81949700         	469,7            	724558,8253      
