Nom du Graphe.Graphe    	Temps_BellmanFord	Temps_Dijkstra    	Moy d'Arcs/Graphe.Noeud 	Ratio
Graphe115        	2369300          	972300           	60,0             	23296,6078       
Graphe116        	1880300          	956400           	57,3             	16124,8632       
Graphe117        	3137400          	963400           	56,5             	38457,8564       
Graphe118        	3330200          	1487300          	63,8             	28878,0360       
Graphe119        	3306900          	1251800          	57,6             	35676,7719       
Graphe120        	2962400          	1033800          	59,7             	32293,3297       
Graphe121        	3047100          	1052400          	60,5             	32994,6342       
Graphe122        	2635200          	1071600          	61,0             	25615,8541       
Graphe123        	3236900          	1100400          	62,2             	34353,2930       
Graphe124        	3367100          	1331900          	64,2             	31697,7998       
Graphe125        	4223600          	1197500          	68,1             	44414,0414       
Graphe126        	3568900          	1214500          	67,6             	34819,5494       
Graphe127        	3117200          	1203100          	67,5             	28371,6994       
Graphe128        	2779400          	1184900          	63,1             	25275,5761       
Graphe129        	3502100          	1210400          	66,4             	34491,3488       
Graphe130        	3131300          	1423100          	70,2             	24339,6373       
Graphe131        	3922200          	1308800          	72,1             	36248,0133       
Graphe132        	4238900          	1329200          	69,9             	41638,1674       
Graphe133        	4818400          	1421700          	64,5             	52671,0889       
Graphe134        	4588500          	1328900          	67,5             	48295,6313       
Graphe135        	4288000          	1394500          	70,2             	41236,8147       
Graphe136        	3738900          	1495000          	74,7             	30052,2321       
Graphe137        	3724400          	1358500          	61,0             	38780,6722       
Graphe138        	4483000          	1512100          	71,9             	41299,3744       
Graphe139        	5205200          	1460600          	69,3             	54063,9566       
Graphe140        	4560800          	1520000          	69,4             	43823,5664       
Graphe141        	4707600          	1549100          	72,2             	43770,2781       
Graphe142        	4473700          	1540200          	70,1             	41857,3127       
Graphe143        	5176500          	1537400          	68,1             	53472,7908       
Graphe144        	5781800          	1596200          	74,0             	56525,5388       
Graphe145        	5880900          	1517800          	67,0             	65167,2119       
Graphe146        	3770300          	1564200          	67,2             	32837,4535       
Graphe147        	5138000          	1672900          	74,6             	46429,8471       
Graphe148        	4059300          	1634000          	70,6             	34339,7206       
Graphe149        	4712600          	1730400          	79,3             	37613,7822       
Graphe150        	5560200          	1795800          	75,9             	49583,0849       
Graphe151        	6647000          	1816600          	80,4             	60065,9298       
Graphe152        	4760400          	1825500          	75,6             	38812,7608       
Graphe153        	7478700          	1927800          	85,2             	65116,8925       
Graphe154        	5409400          	1814700          	70,9             	50693,6540       
Graphe155        	6038700          	1956200          	82,3             	49593,9725       
Graphe156        	4728600          	1885900          	77,7             	36587,3737       
Graphe157        	8295800          	2019100          	75,5             	83131,6368       
Graphe158        	6718200          	2080500          	85,1             	54469,0597       
Graphe159        	6938800          	1937200          	77,9             	64209,9992       
Graphe160        	7077800          	1887000          	79,5             	65308,2945       
Graphe161        	5944700          	2072800          	86,3             	44862,0771       
Graphe162        	5295100          	1974800          	81,5             	40730,7353       
Graphe163        	6515000          	1858300          	79,4             	58666,5267       
Graphe164        	5253800          	1831200          	76,3             	44867,0615       
Graphe165        	4895400          	1916000          	84,6             	35203,0423       
Graphe166        	6138100          	2018600          	85,1             	48417,2380       
Graphe167        	7334600          	2098100          	78,9             	66394,2156       
Graphe168        	6004300          	2082700          	78,0             	50276,9231       
Graphe169        	5327200          	2146900          	82,6             	38487,7070       
Graphe170        	7627100          	2223200          	85,1             	63466,7668       
Graphe171        	7472700          	2782000          	90,5             	51829,2840       
Graphe172        	8061500          	2294600          	87,4             	65994,1204       
Graphe173        	7083500          	2365200          	87,1             	54162,1843       
Graphe174        	8284400          	2340900          	86,9             	68378,6116       
Graphe175        	7010700          	2213000          	90,3             	53134,3324       
Graphe176        	6547800          	2204900          	82,1             	52871,6367       
Graphe177        	7201700          	2321900          	85,4             	57172,6797       
Graphe178        	6327200          	2628000          	86,3             	42869,9459       
Graphe179        	7133700          	2435900          	85,0             	55246,6896       
Graphe180        	6146600          	2488700          	92,2             	39688,6729       
Graphe181        	7947100          	2738500          	95,6             	54498,2161       
Graphe182        	7707800          	2560800          	94,1             	54704,7135       
Graphe183        	7764700          	2463600          	97,2             	54565,3758       
Graphe184        	8727100          	3138900          	91,7             	60972,9102       
Graphe185        	7632900          	2462100          	90,2             	57340,9002       
Graphe186        	9103600          	2727500          	89,2             	71474,9747       
Graphe187        	8513200          	3001200          	93,7             	58846,9751       
Graphe188        	8301700          	2714000          	93,8             	59580,3917       
Graphe189        	12168900         	2568800          	95,0             	101075,9660      
Graphe190        	7522800          	3205800          	89,4             	48265,5331       
Graphe191        	7246600          	2718800          	96,0             	47167,1291       
Graphe192        	9264200          	2824900          	94,8             	67944,3163       
Graphe193        	6759400          	2654800          	94,3             	43525,8578       
Graphe194        	9548800          	3117200          	102,4            	62825,4971       
Graphe195        	9546900          	3002700          	100,2            	65312,7007       
Graphe196        	10286100         	4108600          	100,4            	61538,7905       
Graphe197        	14087900         	3035700          	98,4             	112356,9757      
Graphe198        	8927600          	3066900          	95,1             	61613,7511       
Graphe199        	9131600          	2897500          	101,3            	61547,9198       
Graphe200        	10565700         	2905800          	100,8            	76026,9163       
Graphe201        	8969600          	3332200          	101,4            	55615,1140       
Graphe202        	8755500          	2844300          	97,1             	60887,8970       
Graphe203        	11663200         	3213600          	111,7            	75660,3477       
Graphe204        	13722900         	3288500          	101,0            	103355,5994      
Graphe205        	10098600         	3357900          	103,3            	65226,4819       
Graphe206        	11924200         	3254000          	104,4            	83071,6109       
Graphe207        	13729900         	3250500          	113,7            	92179,9074       
Graphe208        	10919700         	3062000          	101,2            	77670,8402       
Graphe209        	11933100         	3372200          	110,9            	77184,5447       
Graphe210        	15223300         	3262100          	107,3            	111482,2123      
Graphe211        	12103800         	3273700          	105,5            	83673,4274       
Graphe212        	15133500         	3519100          	122,0            	95236,4779       
Graphe213        	11623700         	3612700          	109,3            	73304,6050       
Graphe214        	10237800         	3309000          	105,1            	65915,9128       
Graphe215        	13557500         	3728000          	112,0            	87727,2970       
Graphe216        	10795800         	3366200          	104,6            	71043,6354       
Graphe217        	12712000         	3510900          	102,7            	89553,3932       
Graphe218        	11109600         	3648300          	106,6            	69999,4030       
Graphe219        	13602000         	3646800          	104,9            	94901,4019       
Graphe220        	17771800         	3971300          	114,5            	120490,4629      
